index,SKU,BANK_NAME,MTG_PRODUCT_SUBTITLE,MTG_PRODUCT_TYPE_RAW,MTG_PRODUCT_TYPE,MTG_PRODUCT_YEARS,MTG_INITIAL_RATE_PCT,MTG_APR_PCT,MTG_REVERT_RATE,MTG_FEES_TOTAL,MTG_INITIAL_RATE_MONTHS,SCAN_DATE,TID
0,3739342,Foundation Home Loans,Remortgage,5 year fixed,fixed,25,7.69,7.7,7.24,630.0,60,2022-10-16 06:42:26,483184
1,3738960,Kensington Mortgages,Remortgage,2 year fixed,fixed,25,8.34,8.0,7.35,2347.0,24,2022-10-16 06:42:26,483185
2,3739028,Kensington Mortgages,Remortgage,2 year fixed,fixed,25,8.49,7.9,7.35,108.0,24,2022-10-16 06:42:26,483186
3,3738961,Kensington Mortgages,Remortgage,5 year fixed,fixed,25,8.94,8.6,7.35,2347.0,60,2022-10-16 06:42:26,483187
4,3739020,Kensington Mortgages,Remortgage,5 year fixed,fixed,25,9.09,8.6,7.55,108.0,60,2022-10-16 06:42:26,483188
5,3738949,Kensington Mortgages,Remortgage,10 year fixed,fixed,25,9.59,9.7,7.35,2347.0,120,2022-10-16 06:42:26,483189
6,3552098,Loughborough Building Society,Remortgage,2 year discounted,discounted,25,3.09,5.5,5.89,115.0,24,2022-10-16 06:42:26,483190
7,3696622,Loughborough Building Society,Remortgage,2 year discounted,discounted,25,3.19,5.5,5.89,115.0,24,2022-10-16 06:42:26,483191
8,3552100,Loughborough Building Society,Remortgage,3 year discounted,discounted,25,3.54,5.4,5.89,115.0,36,2022-10-16 06:42:26,483192
9,3638065,Chorley & District Building Society,Remortgage,2 year discounted,discounted,25,3.64,6.2,6.49,1400.0,24,2022-10-16 06:42:26,483193
10,3742385,Chorley & District Building Society,Remortgage,2 year discounted,discounted,25,3.99,6.3,6.49,1400.0,24,2022-10-16 06:42:26,483194
11,3742387,Chorley & District Building Society,Remortgage,2 year discounted,discounted,25,4.05,6.3,6.49,1274.0,24,2022-10-16 06:42:26,483195
12,3551873,Monmouthshire Building Society,Remortgage,2 year discounted,discounted,25,4.29,6.3,6.49,999.0,24,2022-10-16 06:42:26,483196
13,3690474,Ecology Building Society,Remortgage,Lifetime variable,variable,25,5.24,5.4,,590.0,300,2022-10-16 06:42:26,483197
14,3754258,Vida Homeloans,Remortgage,2 year variable,variable,25,5.59,6.8,6.64,2695.0,24,2022-10-16 06:42:26,483198
15,3754261,Vida Homeloans,Remortgage,2 year variable,variable,25,5.79,6.9,6.64,2695.0,24,2022-10-16 06:42:26,483199
16,3754259,Vida Homeloans,Remortgage,2 year variable,variable,25,5.99,6.9,6.64,2695.0,24,2022-10-16 06:42:26,483200
17,3754260,Vida Homeloans,Remortgage,2 year variable,variable,25,6.04,6.9,6.64,2695.0,24,2022-10-16 06:42:26,483201
18,3754262,Vida Homeloans,Remortgage,2 year variable,variable,25,6.19,7.0,6.64,2695.0,24,2022-10-16 06:42:26,483202
19,3754263,Vida Homeloans,Remortgage,2 year variable,variable,25,6.24,7.0,6.64,2695.0,24,2022-10-16 06:42:26,483203
20,1000720903,Clydesdale Bank,Remortgage,5 year fixed,fixed,25,6.7,6.9,6.6,1234.0,62,2022-10-16 06:42:26,483204
21,1000720950,Yorkshire Bank,Remortgage,5 year fixed,fixed,25,6.7,6.9,6.6,1234.0,62,2022-10-16 06:42:26,483205
22,3755722,Fleet Mortgages,Remortgage,5 year fixed,fixed,25,6.73,7.5,7.25,3335.0,62,2022-10-16 06:42:26,483206
23,1000720906,Clydesdale Bank,Remortgage,2 year fixed,fixed,25,6.8,6.9,6.6,1234.0,26,2022-10-16 06:42:26,483207
24,1000720983,Yorkshire Bank,Remortgage,2 year fixed,fixed,25,6.8,6.9,6.6,1234.0,26,2022-10-16 06:42:26,483208
25,3739341,Foundation Home Loans,Remortgage,5 year fixed,fixed,25,7.19,7.7,7.24,2880.0,60,2022-10-16 06:42:26,483209
26,3744905,Precise Mortgages,Remortgage,5 year fixed,fixed,25,7.24,7.6,7.0,2834.0,60,2022-10-16 06:42:26,483210
27,3745078,Kent Reliance,Remortgage,5 year fixed,fixed,25,7.24,7.0,5.74,5025.0,60,2022-10-16 06:42:26,483211
28,3744914,Precise Mortgages,Remortgage,5 year fixed,fixed,25,7.34,7.6,7.0,2834.0,60,2022-10-16 06:42:26,483212
29,3739347,Foundation Home Loans,Remortgage,5 year fixed,fixed,25,7.39,7.7,7.24,2125.0,60,2022-10-16 06:42:26,483213
30,3739358,Foundation Home Loans,Remortgage,5 year fixed,fixed,25,7.44,7.8,7.24,2540.0,60,2022-10-16 06:42:26,483214
31,3744906,Precise Mortgages,Remortgage,5 year fixed,fixed,25,7.44,7.7,7.0,2834.0,60,2022-10-16 06:42:26,483215
32,3745079,Kent Reliance,Remortgage,5 year fixed,fixed,25,7.44,7.0,5.74,3525.0,60,2022-10-16 06:42:26,483216
33,3739361,Foundation Home Loans,Remortgage,5 year fixed,fixed,25,7.54,7.8,7.24,2715.0,60,2022-10-16 06:42:26,483217
34,3744904,Precise Mortgages,Remortgage,5 year fixed,fixed,25,7.54,7.7,7.0,2834.0,60,2022-10-16 06:42:26,483218
